sggdeu0401,UPC,11,TGT,sgg,deu,0,srf.0#27-38,False,1663355123.188,1663355127.186
sggdeu0401,UPC,10,TGT,sgg,deu,0,srf.0#27-38,False,1663355118.157,1663355123.173
sggdeu0401,UPC,9,TGT,sgg,deu,0,srf.0#27-38,False,1663355110.6,1663355118.141
sggdeu0401,UPC,8,TGT,sgg,deu,0,srf.0#27-38,False,1663355107.106,1663355110.583
sggdeu0401,UPC,7,TGT,sgg,deu,0,srf.0#27-38,False,1663355099.681,1663355107.079
sggdeu0401,UPC,6,TGT,sgg,deu,0,srf.0#27-38,False,1663355095.978,1663355099.657
sggdeu0401,UPC,5,TGT,sgg,deu,0,srf.0#27-38,False,1663355092.529,1663355095.953
sggdeu0401,UPC,4,TGT,sgg,deu,0,srf.0#27-38,False,1663355086.451,1663355092.505
sggdeu0401,UPC,3,TGT,sgg,deu,0,srf.0#27-38,False,1663355082.826,1663355086.437
sggdeu0401,UPC,2,TGT,sgg,deu,0,srf.0#27-38,False,1663355079.072,1663355082.801
sggdeu0401,UPC,1,TGT,sgg,deu,0,srf.0#27-38,False,1663355076.485,1663355079.057
sggdeu0401,UPC,0,TGT,sgg,deu,0,srf.0#27-38,False,1663355064.169,1663355076.465
sggdeu0401,njupt-mtt,194,TGT,sgg,deu,0,srf.0#183-194,True,1663354963.045,1663355062.916
sggdeu0401,njupt-mtt,11,TGT,sgg,deu,0,srf.0#183-194,False,1663355050.81,1663355057.003
sggdeu0401,njupt-mtt,10,TGT,sgg,deu,0,srf.0#183-194,False,1663355046.827,1663355050.78
sggdeu0401,njupt-mtt,9,TGT,sgg,deu,0,srf.0#183-194,False,1663355033.824,1663355046.793
sggdeu0401,njupt-mtt,8,TGT,sgg,deu,0,srf.0#183-194,False,1663355027.586,1663355033.788
sggdeu0401,njupt-mtt,7,TGT,sgg,deu,0,srf.0#183-194,False,1663355023.268,1663355027.555
sggdeu0401,njupt-mtt,6,TGT,sgg,deu,0,srf.0#183-194,False,1663355014.462,1663355023.214
sggdeu0401,njupt-mtt,5,TGT,sgg,deu,0,srf.0#183-194,False,1663355007.135,1663355014.421
sggdeu0401,njupt-mtt,4,TGT,sgg,deu,0,srf.0#183-194,False,1663354999.214,1663355007.115
sggdeu0401,njupt-mtt,3,TGT,sgg,deu,0,srf.0#183-194,False,1663354993.116,1663354999.201
sggdeu0401,njupt-mtt,2,TGT,sgg,deu,0,srf.0#183-194,False,1663354984.194,1663354993.102
sggdeu0401,njupt-mtt,1,TGT,sgg,deu,0,srf.0#183-194,False,1663354979.038,1663354984.169
sggdeu0401,njupt-mtt,0,TGT,sgg,deu,0,srf.0#183-194,False,1663354963.203,1663354979.019
sggdeu0401,DFKI-MLT,62,TGT,sgg,deu,0,srf.0#51-62,True,1663354897.997,1663354961.959
sggdeu0401,DFKI-MLT,11,TGT,sgg,deu,0,srf.0#51-62,False,1663354949.663,1663354953.78
sggdeu0401,DFKI-MLT,10,TGT,sgg,deu,0,srf.0#51-62,False,1663354941.493,1663354949.644
sggdeu0401,DFKI-MLT,9,TGT,sgg,deu,0,srf.0#51-62,False,1663354938.536,1663354941.46
sggdeu0401,DFKI-MLT,8,TGT,sgg,deu,0,srf.0#51-62,False,1663354934.952,1663354938.504
sggdeu0401,DFKI-MLT,7,TGT,sgg,deu,0,srf.0#51-62,False,1663354931.822,1663354934.939
sggdeu0401,DFKI-MLT,6,TGT,sgg,deu,0,srf.0#51-62,False,1663354928.688,1663354931.79
sggdeu0401,DFKI-MLT,5,TGT,sgg,deu,0,srf.0#51-62,False,1663354925.527,1663354928.671
sggdeu0401,DFKI-MLT,4,TGT,sgg,deu,0,srf.0#51-62,False,1663354920.197,1663354925.499
sggdeu0401,DFKI-MLT,3,TGT,sgg,deu,0,srf.0#51-62,False,1663354916.376,1663354920.187
sggdeu0401,DFKI-MLT,2,TGT,sgg,deu,0,srf.0#51-62,False,1663354913.506,1663354916.335
sggdeu0401,DFKI-MLT,1,TGT,sgg,deu,0,srf.0#51-62,False,1663354910.782,1663354913.484
sggdeu0401,DFKI-MLT,0,TGT,sgg,deu,0,srf.0#51-62,False,1663354898.206,1663354910.761
sggdeu0402,DFKI-MLT,50,TGT,sgg,deu,0,focusnews.5#39-50,True,1663354819.225,1663354844.102
sggdeu0402,DFKI-MLT,3,TGT,sgg,deu,0,focusnews.5#39-50,False,1663354834.291,1663354837.598
sggdeu0402,DFKI-MLT,2,TGT,sgg,deu,0,focusnews.5#39-50,False,1663354830.84,1663354834.277
sggdeu0402,DFKI-MLT,1,TGT,sgg,deu,0,focusnews.5#39-50,False,1663354827.573,1663354830.81
sggdeu0402,DFKI-MLT,0,TGT,sgg,deu,0,focusnews.5#39-50,False,1663354819.34,1663354827.527
sggdeu0402,dfki,25,TGT,sgg,deu,0,focusnews.4#14-25,True,1663354742.507,1663354816.408
sggdeu0402,dfki,11,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354807.555,1663354810.902
sggdeu0402,dfki,10,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354804.482,1663354807.541
sggdeu0402,dfki,9,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354797.916,1663354804.437
sggdeu0402,dfki,8,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354791.724,1663354797.886
sggdeu0402,dfki,7,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354786.605,1663354791.694
sggdeu0402,dfki,6,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354782.941,1663354786.574
sggdeu0402,dfki,5,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354779.942,1663354782.911
sggdeu0402,dfki,4,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354774.319,1663354779.903
sggdeu0402,dfki,3,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354770.893,1663354774.279
sggdeu0402,dfki,2,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354756.771,1663354770.854
sggdeu0402,dfki,1,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354753.003,1663354756.727
sggdeu0402,dfki,0,TGT,sgg,deu,0,focusnews.4#14-25,False,1663354742.642,1663354752.978
sggdeu0402,DFKI-MLT,86,TGT,sgg,deu,0,srf.0#75-86,True,1663354681.143,1663354740.629
sggdeu0402,DFKI-MLT,11,TGT,sgg,deu,0,srf.0#75-86,False,1663354730.202,1663354733.955
